state,postcode,count,latitude,longitude
NSW,2577,11165,-34.5732,150.4113
TAS,7320,11135,-41.0641,145.8947
NSW,2021,11084,-33.8858,151.2285
NSW,2762,11072,-33.7002,150.8808
VIC,3188,11058,-37.9379,145.0154
QLD,4225,11030,-28.1672,153.5309
SA,5118,11018,-34.5955,138.748
QLD,4110,11008,-27.6052,153.0104
NSW,2101,11003,-33.7092,151.2911
VIC,3079,10972,-37.7665,145.046
VIC,3840,10967,-38.2389,146.4181
NSW,2117,10957,-33.7959,151.0412
VIC,3016,10954,-37.859,144.8887
QLD,4171,10950,-27.4557,153.0606
SA,5540,10933,-33.1911,138.0136
VIC,3042,10893,-37.7282,144.8787
VIC,3850,10858,-38.1028,147.072
SA,5158,10849,-35.0749,138.5237
VIC,3910,10844,-38.1528,145.1955
NSW,2074,10841,-33.7285,151.1306
NSW,2753,10825,-33.6119,150.7292
QLD,4610,10795,-26.5457,151.7981
SA,5606,10790,-34.7286,135.8578
NSW,2262,10785,-33.219,151.5321
WA,6010,10785,-31.9775,115.7786
VIC,3752,10776,-37.6367,145.0854
VIC,3934,10773,-38.2669,145.0261
VIC,3138,10766,-37.7803,145.3217
SA,5023,10743,-34.8961,138.5212
VIC,3039,10698,-37.7655,144.9208
WA,6076,10693,-31.9855,116.0583
SA,5112,10625,-34.7346,138.6733
SA,5038,10601,-34.969,138.5529
NSW,2304,10598,-32.8935,151.734
WA,6102,10559,-32.0042,115.9099
VIC,3564,10544,-36.1359,144.7398
QLD,4210,10538,-27.9143,153.2931
SA,5113,10527,-34.6992,138.6792
QLD,4179,10524,-27.4639,153.1748
NSW,2456,10523,-30.1005,153.1905
QLD,4815,10516,-19.3598,146.7223
QLD,4102,10502,-27.4935,153.0359
NSW,2641,10499,-36.0401,146.9397
TAS,7010,10484,-42.8349,147.267
NSW,2213,10465,-33.9598,150.9993
VIC,3123,10429,-37.8296,145.0503
SA,5169,10397,-35.1922,138.4817
NSW,2264,10389,-33.1055,151.5128
NSW,2218,10369,-33.9709,151.1193
VIC,3161,10368,-37.8717,145.0238
VIC,3057,10350,-37.7708,144.9757
NSW,2557,10342,-34.0117,150.7729
NSW,2289,10336,-32.9426,151.7105
SA,5109,10323,-34.7741,138.6646
