locality,state,postcode,count,latitude,longitude
Kybong,QLD,4570,229,-26.2887,152.7114
Riordanvale,QLD,4800,229,-20.2874,148.6474
Springfield,SA,5062,229,-34.9767,138.6322
Mullingar,WA,6430,229,-30.7322,121.4702
Coorow,WA,6515,229,-29.8814,116.0241
Deviot,TAS,7275,229,-41.2359,146.9282
Meander,TAS,7304,229,-41.6515,146.6093
Duffys Forest,NSW,2084,228,-33.6749,151.1891
Kirkham,NSW,2570,228,-34.0313,150.7101
Theresa Park,NSW,2570,228,-33.9937,150.6311
Middle Arm,NSW,2580,228,-34.6154,149.7381
Currawarna,NSW,2650,228,-34.9916,147.0778
Cardigan Village,VIC,3352,228,-37.5162,143.7087
Taylor Bay,VIC,3713,228,-37.2026,145.8816
Stanage,QLD,4702,228,-22.2264,150.0522
Oak Valley,QLD,4811,228,-19.412,146.8214
Mosman Park,QLD,4820,228,-20.0958,146.2611
Willunga South,SA,5172,228,-35.2903,138.5492
Brownlow Ki,SA,5223,228,-35.6689,137.6123
Price,SA,5570,228,-34.2877,137.9909
Baskerville,WA,6056,228,-31.7977,116.0503
Marbelup,WA,6330,228,-34.9861,117.7855
Cossack,WA,6720,228,-20.679,117.1838
Stanley,VIC,3747,227,-36.4069,146.7556
Buln Buln,VIC,3821,227,-38.0976,145.9445
Gindie,QLD,4702,227,-23.7541,148.145
Pinnacle,QLD,4741,227,-21.1557,148.7073
Donovans,SA,5291,227,-38.0108,140.9592
Karlkurla,WA,6430,227,-30.7348,121.4478
Roebuck,WA,6725,227,-17.8922,122.3626
Underwood,TAS,7268,227,-41.305,147.1967
Elliott,NT,0862,226,-17.554,133.5423
Lanitza,NSW,2460,226,-29.8926,152.9818
Rosebank,NSW,2480,226,-28.6669,153.3958
Burrumbuttock,NSW,2642,226,-35.8393,146.7995
Raywood,VIC,3570,226,-36.5363,144.201
Prenzlau,QLD,4311,226,-27.5278,152.5192
Coolmunda,QLD,4387,226,-28.436,151.2095
Image Flat,QLD,4560,226,-26.6041,152.9365
Cushnie,QLD,4608,226,-26.3455,151.7421
Coonarr,QLD,4670,226,-24.9733,152.471
Colosseum,QLD,4677,226,-24.4142,151.5661
Balnagowan,QLD,4740,226,-21.1192,149.0159
Brukunga,SA,5252,226,-35.0062,138.949
Furner,SA,5280,226,-37.4037,140.3438
Manoora,SA,5414,226,-33.9951,138.8127
Tammin,WA,6409,226,-31.6416,117.4877
Trayning,WA,6488,226,-31.1154,117.7932
Ouse,TAS,7140,226,-42.4748,146.7075
Mandalong,NSW,2264,225,-33.1269,151.433
Woodville,NSW,2321,225,-32.6682,151.6219
Chilcotts Grass,NSW,2480,225,-28.8328,153.3394
Morundah,NSW,2700,225,-34.9467,146.296
Wattamondara,NSW,2794,225,-33.9395,148.6023
Woolsthorpe,VIC,3276,225,-38.1691,142.4468
Merino,VIC,3310,225,-37.7198,141.5535
Longwood,VIC,3665,225,-36.8076,145.4154
Mount Taylor,VIC,3875,225,-37.7474,147.5855
Stanwell,QLD,4702,225,-23.4835,150.3135
Mowbray,QLD,4877,225,-16.5666,145.4767
Booborowie,SA,5417,225,-33.5612,138.7612
Pekina,SA,5431,225,-32.8374,138.5311
Emu Point,WA,6330,225,-34.9974,117.9415
Lymington,TAS,7109,225,-43.1973,147.0619
Leith,TAS,7315,225,-41.1608,146.2578
Galiwinku,NT,0822,224,-12.0242,135.5668
Whittingham,NSW,2330,224,-32.6117,151.2027
Old Junee,NSW,2652,224,-34.8302,147.5082
Wakool,NSW,2710,224,-35.465,144.374
Apsley,VIC,3319,224,-36.97,141.0852
Rokewood,VIC,3330,224,-37.9142,143.7175
Nungurner,VIC,3909,224,-37.8704,147.8923
Ducklo,QLD,4405,224,-27.2826,151.0287
Tingun,QLD,4455,224,-26.754,148.8769
Wurdong Heights,QLD,4680,224,-23.9804,151.299
Hawkins Creek,QLD,4850,224,-18.6037,146.1091
Innot Hot Springs,QLD,4872,224,-17.6955,145.2242
Cape Jaffa,SA,5275,224,-36.9436,139.6968
Point Boston,SA,5607,224,-34.6235,135.9302
Nungarin,WA,6490,224,-31.1739,118.1041
Sawyers Gully,NSW,2326,223,-32.7841,151.4436
Newbridge,NSW,2795,223,-33.5823,149.3683
Wattle Flat,NSW,2795,223,-33.1448,149.693
Orrvale,VIC,3631,223,-36.4074,145.4449
Darraweit Guim,VIC,3756,223,-37.4128,144.8802
Maryknoll,VIC,3812,223,-38.0343,145.6013
Mount Kelly,QLD,4807,223,-19.6644,147.3186
Eubenangee,QLD,4860,223,-17.4337,145.976
Masig Island,QLD,4875,223,-9.7511,143.4131
Hatherleigh,SA,5280,223,-37.4907,140.2844
Ambergate,WA,6280,223,-33.7068,115.3357
Calingiri,WA,6569,223,-31.086,116.4567
Lower Snug,TAS,7054,223,-43.0796,147.2592
Tugrah,TAS,7310,223,-41.2002,146.3128
Lochiel,NSW,2549,222,-36.9447,149.8091
Borenore,NSW,2800,222,-33.2444,148.9775
Wandin East,VIC,3139,222,-37.8129,145.4546
Felton,QLD,4358,222,-27.7974,151.7648
Mount Jukes,QLD,4740,222,-20.9848,148.9667
Victoria Plains,QLD,4751,222,-21.2107,149.0104
Upper Haughton,QLD,4809,222,-19.7063,147.1273
Forreston,SA,5233,222,-34.7866,138.9132
East Seaham,NSW,2324,221,-32.6409,151.7618
Ashley,NSW,2400,221,-29.3097,149.8066
Wee Jasper,NSW,2582,221,-35.1448,148.6808
Springrange,NSW,2618,221,-35.0977,149.0825
Landsborough,VIC,3384,221,-37.0081,143.1343
Good Night,QLD,4671,221,-25.2491,151.9501
Prairie,QLD,4821,221,-21.0241,144.6227
Globe Derby Park,SA,5110,221,-34.7882,138.5894
Lochaber,SA,5271,221,-36.8217,140.5632
Yalgoo,WA,6635,221,-28.3282,116.6951
Bonnet Hill,TAS,7053,221,-42.9692,147.3313
Weymouth,TAS,7252,221,-41.0146,147.1475
Baan Baa,NSW,2390,220,-30.5835,149.9482
Jaspers Brush,NSW,2535,220,-34.7971,150.6525
Woodford,VIC,3281,220,-38.3156,142.4858
Mia Mia,VIC,3444,220,-36.9942,144.6068
Silver Spur,QLD,4385,220,-28.8613,151.2861
Coverty,QLD,4613,220,-26.2666,151.4981
Jambin,QLD,4702,220,-24.2101,150.4091
Jubilee Heights,QLD,4860,220,-17.4899,146.0414
Vivonne Bay,SA,5223,220,-35.9798,137.1725
Armagh,SA,5453,220,-33.8281,138.5808
Jigalong,WA,6753,220,-23.3917,120.7885
Chullora,NSW,2190,219,-33.8975,151.0451
Tintinhull,NSW,2352,219,-31.0785,151.0007
Brookdale,NSW,2656,219,-35.1403,147.0575
Oakey Park,NSW,2790,219,-33.4683,150.1818
Kilmore East,VIC,3764,219,-37.2854,144.9914
Nowa Nowa,VIC,3887,219,-37.7233,148.0959
Stony Creek,VIC,3957,219,-38.5924,146.0793
Umbiram,QLD,4352,219,-27.6615,151.7706
Diamond Valley,QLD,4553,219,-26.7562,152.936
Camooweal,QLD,4828,219,-19.9047,138.1454
Port Julia,SA,5580,219,-34.6618,137.8783
Caragabal,NSW,2810,218,-33.8453,147.7377
Beech Forest,VIC,3237,218,-38.6324,143.5683
Wheatsheaf,VIC,3461,218,-37.3306,144.2261
Mount Rascal,QLD,4350,218,-27.6334,151.9166
Geham,QLD,4352,218,-27.3935,151.9985
Ridgewood,QLD,4563,218,-26.4592,152.8294
Homebush,QLD,4740,218,-21.2767,149.0569
Inkerman,QLD,4806,218,-19.7113,147.4872
Alford,SA,5555,218,-33.816,137.8328
Lucaston,TAS,7109,218,-42.9727,147.0463
Glen Oak,NSW,2320,217,-32.6183,151.7167
Bundabah,NSW,2324,217,-32.6641,152.0637
Lakeside,QLD,4621,217,-25.5585,152.1094
Mount Benson,SA,5275,217,-37.0847,139.8301
Weeroona Island,SA,5495,217,-33.1035,138.03
Honeywood,TAS,7017,217,-42.7252,147.2877
Dennes Point,TAS,7150,217,-43.0752,147.3464
Martins Creek,NSW,2420,216,-32.555,151.6249
Taree South,NSW,2430,216,-31.9388,152.4586
Grabben Gullen,NSW,2583,216,-34.5332,149.3894
Megalong Valley,NSW,2785,216,-33.7122,150.2268
Dixons Creek,VIC,3775,216,-37.5983,145.4206
Glamorgan Vale,QLD,4306,216,-27.5122,152.6271
Calavos,QLD,4670,216,-24.9386,152.4273
Airdmillan,QLD,4807,216,-19.5365,147.4594
Dalbeg,QLD,4807,216,-20.2502,147.2947
Seventy Mile,QLD,4820,216,-20.3167,146.3642
Parilla,SA,5303,216,-35.2969,140.6871
Karragullen,WA,6111,216,-32.0997,116.1138
Nunamara,TAS,7259,216,-41.3778,147.3157
Livingstone,NT,0822,215,-12.7373,131.0717
Knuckey Lagoon,NT,0828,215,-12.4242,130.9411
Pinelands,NT,0829,215,-12.4592,130.9661
Goonengerry,NSW,2482,215,-28.6101,153.4357
Cowwarr,VIC,3857,215,-38.0129,146.6848
Bayles,VIC,3981,215,-38.1779,145.5762
Kumbarilla,QLD,4405,215,-27.2756,150.9067
Hervey Range,QLD,4817,215,-19.3607,146.4707
Kalkite,NSW,2627,214,-36.3363,148.6368
Arthurs Creek,VIC,3099,214,-37.5702,145.2071
Whorouly,VIC,3735,214,-36.511,146.5863
Nilma,VIC,3821,214,-38.1703,145.9706
Forge Creek,VIC,3875,214,-37.9355,147.626
Bald Knob,QLD,4552,214,-26.783,152.9079
Baree,QLD,4714,214,-23.6199,150.3906
Bolgart,WA,6568,214,-31.2713,116.5118
Deep Bay,TAS,7112,214,-43.2054,147.1148
Bungwahl,NSW,2423,213,-32.3806,152.4361
Tyndale,NSW,2460,213,-29.5531,153.157
Wooloweyah,NSW,2464,213,-29.4795,153.3436
Bogan Gate,NSW,2876,213,-33.1035,147.795
Burrumbeet,VIC,3352,213,-37.4889,143.6596
Woomelang,VIC,3485,213,-35.681,142.661
Merbein South,VIC,3505,213,-34.2108,142.031
Eldorado,VIC,3746,213,-36.3125,146.5225
French Island,VIC,3921,213,-38.365,145.3252
Broadwater,QLD,4380,213,-28.6626,151.8772
Byfield,QLD,4703,213,-22.8418,150.6467
Toobanna,QLD,4850,213,-18.7097,146.1497
Montacute,SA,5134,213,-34.8914,138.7482
Venus Bay,SA,5607,213,-33.2299,134.6809
Mangalore,TAS,7030,213,-42.6561,147.2388
Nicholls Rivulet,TAS,7112,213,-43.1507,147.1425
Eungai Creek,NSW,2441,212,-30.8275,152.8789
Bilambil,NSW,2486,212,-28.227,153.4734
Coolagolite,NSW,2550,212,-36.4047,149.9721
Myrniong,VIC,3341,212,-37.609,144.3421
Bellbridge,VIC,3691,212,-36.099,147.0618
Bena,VIC,3946,212,-38.4288,145.7431
Walterhall,QLD,4714,212,-23.6283,150.3845
Greenhill,SA,5140,212,-34.9516,138.6938
West Pinjarra,WA,6208,212,-32.6388,115.8204
Yarrawonga Park,NSW,2264,211,-33.1001,151.5434
Manton,NSW,2582,211,-34.8645,148.9936
Gunderman,NSW,2775,211,-33.4356,151.0572
Woorinen South,VIC,3588,211,-35.2922,143.4577
Picola,VIC,3639,211,-36.0036,145.1039
Baddaginnie,VIC,3670,211,-36.5977,145.8648
Tarrawingee,VIC,3678,211,-36.3894,146.4584
Tuerong,VIC,3915,211,-38.3008,145.1082
Linville,QLD,4314,211,-26.8382,152.2728
Vale View,QLD,4352,211,-27.6495,151.8946
St Helens Beach,QLD,4798,211,-20.8386,148.8272
Mcdesme,QLD,4807,211,-19.6146,147.3923
Arriga,QLD,4880,211,-17.068,145.3246
Paracombe,SA,5132,211,-34.8436,138.7744
Nilgen,WA,6044,211,-30.9686,115.3953
Falmouth,TAS,7215,211,-41.5068,148.2712
Mooreville,TAS,7321,211,-41.0981,145.8706
Crangan Bay,NSW,2259,210,-33.1555,151.5887
Wootton,NSW,2423,210,-32.3061,152.316
Stanwell Tops,NSW,2508,210,-34.2204,150.9774
Freshwater Creek,VIC,3217,210,-38.268,144.2521
Kerry,QLD,4285,210,-28.1036,153.0335
Mount Pleasant,QLD,4521,210,-27.1501,152.7684
Kulangoor,QLD,4560,210,-26.5836,152.9552
Mount Maria,QLD,4674,210,-24.5335,151.8297
Mundoora,SA,5555,210,-33.6093,138.0931
Farina,SA,5731,210,-30.0721,138.2755
Pipers River,TAS,7252,210,-41.135,147.0833
Sackville North,NSW,2756,209,-33.4832,150.9013
Moggs Creek,VIC,3231,209,-38.4661,144.0649
Kirkstall,VIC,3283,209,-38.2758,142.3069
Veresdale,QLD,4285,209,-27.9194,152.9902
Postmans Ridge,QLD,4352,209,-27.5349,152.0559
Emu Bay,SA,5223,209,-35.5942,137.5066
Hynam,SA,5262,209,-36.9474,140.8764
Coulta,SA,5607,209,-34.3989,135.4573
Burnside,WA,6285,209,-33.935,115.0286
Munglinup,WA,6450,209,-33.6891,120.8066
Ellendale,TAS,7140,209,-42.6094,146.7176
Gresford,NSW,2311,208,-32.4243,151.5291
Spring Grove,NSW,2470,208,-28.8339,153.1166
Duranbah,NSW,2487,208,-28.2981,153.5273
Mystery Bay,NSW,2546,208,-36.3036,150.1289
Lakesland,NSW,2572,208,-34.1685,150.5236
Cooriemungle,VIC,3268,208,-38.5582,143.1357
Mailors Flat,VIC,3275,208,-38.2884,142.4707
Tresco,VIC,3583,208,-35.4978,143.6742
East Greenmount,QLD,4359,208,-27.7742,151.9492
Emu Vale,QLD,4371,208,-28.2186,152.2831
Weyba Downs,QLD,4562,208,-26.441,153.0528
Gargett,QLD,4741,208,-21.1531,148.7508
Carruchan,QLD,4816,208,-18.2347,145.9264
Mount Isa,QLD,4825,208,-20.7111,139.4977
East Trinity,QLD,4871,208,-16.9199,145.8199
Penfield Gardens,SA,5121,208,-34.6583,138.6157
Baudin Beach,SA,5222,208,-35.7785,137.8701
Port Mannum,SA,5238,208,-34.9256,139.3038
Bovell,WA,6280,208,-33.668,115.3575
Moonyoonooka,WA,6532,208,-28.7778,114.7222
Electrona,TAS,7054,208,-43.0536,147.263
Saumarez Ponds,NSW,2350,207,-30.5007,151.5625
Galong,NSW,2585,207,-34.5936,148.5548
Clandulla,NSW,2848,207,-32.9151,149.9486
Thornton,QLD,4341,207,-27.8016,152.3618
Glencoe,QLD,4352,207,-27.4596,151.865
Windorah,QLD,4481,207,-25.4167,142.6029
Rodds Bay,QLD,4678,207,-24.0879,151.6228
Munno Para Downs,SA,5115,207,-34.6484,138.686
Fisher,SA,5354,207,-34.5147,139.515
Collingwood Park,WA,6330,207,-35.0041,117.9224
Beacon,WA,6472,207,-30.4459,117.8673
Nunile,WA,6566,207,-31.5327,116.4965
Warialda Rail,NSW,2402,206,-29.5937,150.5339
Dyers Crossing,NSW,2429,206,-32.0855,152.3043
Bimbi,NSW,2810,206,-34.034,147.9313
Winslow,VIC,3281,206,-38.2417,142.4584
Shelbourne,VIC,3515,206,-36.8398,144.0722
Clonbinane,VIC,3658,206,-37.3039,145.0872
Denison,VIC,3858,206,-38.032,146.8517
Bungadoo,QLD,4671,206,-24.9844,152.0812
Callemondah,QLD,4680,206,-23.8476,151.2256
Kianga,QLD,4718,206,-24.6522,150.0002
Clairview,QLD,4741,206,-22.0738,149.5031
Bramston Beach,QLD,4871,206,-17.3556,146.0214
East Wardell,NSW,2477,205,-28.9584,153.4739
Wombat,NSW,2587,205,-34.4262,148.2427
Boompa,QLD,4621,205,-25.6348,152.153
O'connell,QLD,4680,205,-23.9229,151.2686
Haliday Bay,QLD,4740,205,-20.8969,148.9862
Selwyn,QLD,4824,205,-21.5839,140.5139
Bellenden Ker,QLD,4871,205,-17.2715,145.924
Ashbourne,SA,5157,205,-35.2945,138.7692
Tinderbox,TAS,7054,205,-43.041,147.3248
Taranna,TAS,7180,205,-43.0476,147.8651
Congarinni North,NSW,2447,204,-30.6783,152.8807
Pimlico,NSW,2478,204,-28.9024,153.4926
Wyrallah,NSW,2480,204,-28.8867,153.3107
Sofala,NSW,2795,204,-33.0743,149.6972
Carlisle River,VIC,3239,204,-38.5627,143.4075
Moonambel,VIC,3478,204,-36.987,143.3162
Neilborough,VIC,3570,204,-36.5726,144.2476
Punyelroo,SA,5353,204,-34.6089,139.6053
Appila,SA,5480,204,-33.0449,138.411
Karakin,WA,6044,204,-31.0509,115.4069
Squeaking Point,TAS,7307,204,-41.1885,146.5576
Pleasure Point,NSW,2172,203,-33.9676,150.9823
Glenridding,NSW,2330,203,-32.5768,151.1646
Fairy Hill,NSW,2470,203,-28.7822,152.9951
Wombeyan Caves,NSW,2580,203,-34.3094,149.9174
Murray Downs,NSW,2734,203,-35.3379,143.5991
Rocksberg,QLD,4510,203,-27.1143,152.8456
Dingo,QLD,4702,203,-23.6308,149.3124
Devereux Creek,QLD,4753,203,-21.1173,148.8956
Rita Island,QLD,4807,203,-19.628,147.5204
Humbug Scrub,SA,5114,203,-34.7249,138.8141
Parkville,NSW,2337,202,-31.9769,150.8663
Hawkesdale,VIC,3287,202,-38.0977,142.3066
Tambo Upper,VIC,3885,202,-37.7708,147.8189
Mount Beppo,QLD,4313,202,-27.1261,152.4301
Eungella,QLD,4757,202,-21.1251,148.4855
Caltowie,SA,5490,202,-33.1883,138.4867
Pine Point,SA,5571,202,-34.5715,137.8782
Bandy Creek,WA,6450,202,-33.8284,121.9239
Narngulu,WA,6532,202,-28.812,114.6801
Clackline,WA,6564,202,-31.7194,116.5175
Dundee Downs,NT,0840,201,-12.7695,130.5099
Mataranka,NT,0852,201,-14.93,133.0699
Henley,NSW,2111,201,-33.8429,151.1353
Camberwell,NSW,2330,201,-32.4741,151.0891
Dungowan,NSW,2340,201,-31.2273,151.1295
Somerton,NSW,2340,201,-30.9363,150.6324
Pampoolah,NSW,2430,201,-31.9392,152.5044
Rand,NSW,2642,201,-35.5888,146.567
Yambuk,VIC,3285,201,-38.3197,142.0657
Gormandale,VIC,3873,201,-38.3058,146.699
Devon North,VIC,3971,201,-38.5186,146.6298
Rifle Range,QLD,4311,201,-27.4547,152.5441
Somerset Dam,QLD,4312,201,-27.1182,152.5503
Brookstead,QLD,4364,201,-27.7439,151.4399
Mount Schank,SA,5291,201,-37.942,140.7014
Saltwater River,TAS,7186,201,-43.0154,147.7079
Ensay,VIC,3895,200,-37.3694,147.8332
Lower Wonga,QLD,4570,200,-26.1136,152.4652
Curtis Island,QLD,4680,200,-23.688,151.223
Bracewell,QLD,4695,200,-23.904,150.9002
Adelaide Park,QLD,4703,200,-23.0956,150.6964
Lannercost,QLD,4850,200,-18.5921,146.0223
Bulgun,QLD,4854,200,-17.8945,145.9288
Erub Island,QLD,4875,200,-9.591,143.7674
James Well,SA,5571,200,-34.4863,137.8967
Jandabup,WA,6077,200,-31.745,115.8473
Uduc,WA,6220,200,-33.0592,115.8022
Winnaleah,TAS,7265,200,-41.0941,147.8297
Thalgarrah,NSW,2350,199,-30.4177,151.8687
Swanhaven,NSW,2540,199,-35.1784,150.5753
Spring Flat,NSW,2850,199,-32.6413,149.6042
Lexton,VIC,3352,199,-37.2746,143.5151
Fryerstown,VIC,3451,199,-37.1369,144.254
Whiteheads Creek,VIC,3660,199,-37.055,145.2354
Narbethong,VIC,3778,199,-37.5371,145.6694
Nudgee Beach,QLD,4014,199,-27.3469,153.1023
Mount Osmond,SA,5064,199,-34.9645,138.6585
Ilparpa,NT,0873,198,-23.7489,133.8274
Tallimba,NSW,2669,198,-34.0227,146.8938
Stanbridge,NSW,2705,198,-34.5122,146.2551
Meadow Flat,NSW,2795,198,-33.4444,149.9107
Greenethorpe,NSW,2809,198,-34.0085,148.3989
Cororooke,VIC,3254,198,-38.293,143.5244
Mount Mellum,QLD,4550,198,-26.8138,152.9335
Gheerulla,QLD,4574,198,-26.5545,152.7921
Lowmead,QLD,4676,198,-24.549,151.7324
Cudlee Creek,SA,5232,198,-34.8533,138.8312
Wyomi,SA,5275,198,-36.8561,139.8305
Lochiel,SA,5510,198,-33.9305,138.1542
Elleker,WA,6330,198,-35.0162,117.7281
Gardners Bay,TAS,7112,198,-43.1818,147.1305
Allens Rivulet,TAS,7150,198,-43.0076,147.2035
Rosevears,TAS,7277,198,-41.3296,147.0001
Noonamah,NT,0837,197,-12.6485,131.1027
Wingen,NSW,2337,197,-31.8923,150.8779
Yarrowitch,NSW,2354,197,-31.2473,152.007
Fernmount,NSW,2454,197,-30.4737,152.9396
St Albans,NSW,2775,197,-33.2846,150.9706
Hermitage Flat,NSW,2790,197,-33.4792,150.1477
Tooraweenah,NSW,2817,197,-31.4544,148.905
Yowah,QLD,4490,197,-27.9591,144.6361
Mount Coolon,QLD,4804,197,-21.3772,147.3467
Kalbeeba,SA,5118,197,-34.6078,138.7895
Carrieton,SA,5432,197,-32.4224,138.5285
Moonta Mines,SA,5558,197,-34.0786,137.604
Wilmot,TAS,7310,197,-41.386,146.1734
Belimbla Park,NSW,2570,196,-34.0836,150.5401
Merungle Hill,NSW,2705,196,-34.59,146.4421
Wollar,NSW,2850,196,-32.3515,149.9594
Gherang,VIC,3240,196,-38.3113,144.0925
Dixalea,QLD,4702,196,-23.9586,150.2957
Prospect,QLD,4715,196,-24.4627,150.4636
Ironbank,SA,5153,196,-35.0418,138.6876
Lower Light,SA,5501,196,-34.5319,138.42
Youngs Siding,WA,6330,196,-35.0066,117.5164
Dumbarton,WA,6566,196,-31.5663,116.5117
Gordon,TAS,7150,196,-43.2641,147.2272
Bulga,NSW,2330,195,-32.6525,151.0133
Angourie,NSW,2464,195,-29.4796,153.3596
Wonboyn,NSW,2551,195,-37.2476,149.9176
Oura,NSW,2650,195,-35.1065,147.5476
Coolac,NSW,2727,195,-34.9147,148.1904
Quambone,NSW,2831,195,-30.9253,147.8741
Waubra,VIC,3352,195,-37.3526,143.6288
Kiewa,VIC,3691,195,-36.2579,147.0095
Moorina,QLD,4506,195,-27.1396,152.8763
Mount Wilson,NSW,2786,194,-33.5058,150.3829
Mount Panorama,NSW,2795,194,-33.4445,149.5595
Lord Howe Island,NSW,2898,194,-31.5279,159.0683
Drouin South,VIC,3818,194,-38.1866,145.8238
Mcloughlins Beach,VIC,3874,194,-38.6063,146.89
Yugar,QLD,4520,194,-27.3451,152.8765
Goodger,QLD,4610,194,-26.6514,151.8199
Glan Devon,QLD,4615,194,-26.6352,152.0086
Dotswood,QLD,4820,194,-19.596,146.3187
Yolla,TAS,7325,194,-41.1285,145.7171
Carlsruhe,VIC,3442,193,-37.2849,144.5138
Drillham,QLD,4424,193,-26.6341,149.952
Winfield,QLD,4670,193,-24.531,152.0154
Mingela,QLD,4816,193,-19.8707,146.6379
Upper Hermitage,SA,5131,193,-34.7979,138.7594
Warnertown,SA,5540,193,-33.2382,138.1241
Newdegate,WA,6355,193,-33.092,119.0263
Stowport,TAS,7321,193,-41.1097,145.929
Yarramalong,NSW,2259,192,-33.219,151.2771
Jugiong,NSW,2726,192,-34.8205,148.3323
Lue,NSW,2850,192,-32.6462,149.8458
Durham Lead,VIC,3352,192,-37.697,143.8842
Tarnagulla,VIC,3551,192,-36.7689,143.8304
Waranga Shores,VIC,3612,192,-36.5607,145.0828
Yarck,VIC,3719,192,-37.0993,145.6085
Labertouche,VIC,3816,192,-38.0376,145.8001
Kooringal,QLD,4025,192,-27.3504,153.4208
Mount Mort,QLD,4340,192,-27.7798,152.4379
Laidley South,QLD,4341,192,-27.6677,152.3911
Maxwelton,QLD,4822,192,-20.7551,142.6557
Basket Range,SA,5138,192,-34.9373,138.7694
Stake Hill,WA,6181,192,-32.4797,115.7955
Kronkup,WA,6330,192,-35.0554,117.6234
Lanena,TAS,7275,192,-41.3124,146.9722
Elizabeth Town,TAS,7304,192,-41.4561,146.5736
Boat Harbour,TAS,7321,192,-40.9427,145.6255
Verges Creek,NSW,2440,191,-31.0826,152.8837
Riverside,NSW,2444,191,-31.4018,152.8647
Rock Valley,NSW,2480,191,-28.7309,153.1677
Penrose,NSW,2579,191,-34.6758,150.2114
North Wangaratta,VIC,3678,191,-36.3281,146.3548
Barwite,VIC,3722,191,-36.9949,146.1841
Hillside,VIC,3875,191,-37.8318,147.5211
Lower Mount Walker,QLD,4340,191,-27.7157,152.5403
Nerimbera,QLD,4701,191,-23.4039,150.5889
Corfield,QLD,4733,191,-22.091,143.2471
Rockingham,QLD,4854,191,-18.0164,145.9788
Kongorong,SA,5291,191,-37.9059,140.5569
Marrabel,SA,5413,191,-34.1432,138.8786
Torbay,WA,6330,191,-35.0026,117.6526
Garden Island Creek,TAS,7112,191,-43.2447,147.1566
Yorklea,NSW,2470,190,-28.9455,153.0751
Koraleigh,NSW,2735,190,-35.1537,143.4148
Girilambone,NSW,2831,190,-31.2417,146.9021
Euchareena,NSW,2866,190,-32.9357,149.1131
Tynong North,VIC,3813,190,-38.0412,145.6239
Elbow Valley,QLD,4370,190,-28.4047,152.164
Greens Creek,QLD,4570,190,-26.1715,152.7414
Rossville,QLD,4895,190,-15.7367,145.2588
Gleniffer,NSW,2454,189,-30.3928,152.8713
Bentley,NSW,2480,189,-28.7462,153.092
Jiggi,NSW,2480,189,-28.6942,153.1844
High Range,NSW,2575,189,-34.3768,150.3104
Tooleybuc,NSW,2736,189,-35.0319,143.34
Coomoora,VIC,3461,189,-37.3332,144.1922
Huon Creek,VIC,3691,189,-36.157,146.8444
Jimbour East,QLD,4406,189,-26.9329,151.2881
Crawford,QLD,4610,189,-26.4993,151.8158
Mount Chalmers,QLD,4702,189,-23.3002,150.6436
Eaton,NT,0820,188,-12.4212,130.8634
Termeil,NSW,2539,188,-35.4798,150.3434
Gregadoo,NSW,2650,188,-35.2288,147.4241
Nangus,NSW,2722,188,-35.0441,147.914
Hawkesbury Heights,NSW,2777,188,-33.6649,150.6436
Colac West,VIC,3250,188,-38.3332,143.5446
Grassmere,VIC,3281,188,-38.2681,142.5296
Dales Creek,VIC,3341,188,-37.5217,144.3029
Clarkefield,VIC,3430,188,-37.4852,144.7837
Amphitheatre,VIC,3468,188,-37.1855,143.4029
Bearii,VIC,3641,188,-35.8959,145.3391
Trafalgar East,VIC,3824,188,-38.1901,146.1956
Little Mulgrave,QLD,4865,188,-17.1306,145.7118
Blewitt Springs,SA,5171,188,-35.17,138.6019
Northern Heights,SA,5253,188,-35.1018,139.2567
Foul Bay,SA,5577,188,-35.1802,137.2186
Forest Grove,WA,6286,188,-34.0788,115.1072
Ramingining,NT,0822,187,-12.3289,134.9294
Yuendumu,NT,0872,187,-22.2548,131.7961
Nerong,NSW,2423,187,-32.5118,152.2116
Oxley Island,NSW,2430,187,-31.9176,152.5698
Way Way,NSW,2447,187,-30.7593,152.9674
Elland,NSW,2460,187,-29.7637,152.9114
Boxers Creek,NSW,2580,187,-34.7693,149.8252
Coimadai,VIC,3340,187,-37.5977,144.4649
Kialla West,VIC,3631,187,-36.4691,145.3896
Springhurst,VIC,3682,187,-36.1988,146.4658
Bowenville,QLD,4404,187,-27.2887,151.4763
Moola,QLD,4406,187,-27.0334,151.5524
Dunmora,QLD,4650,187,-25.5196,152.5379
Rolleston,QLD,4702,187,-24.4631,148.6253
Joanna,SA,5271,187,-37.1044,140.8412
Chaffey,SA,5341,187,-34.096,140.7033
North Bruny,TAS,7150,187,-43.1273,147.3443
Naracoopa,TAS,7256,187,-39.9177,144.1155
Caroona,NSW,2343,186,-31.3964,150.424
Redbank,NSW,2446,186,-31.4252,152.7316
Potato Point,NSW,2545,186,-36.0952,150.1354
Buckajo,NSW,2550,186,-36.6924,149.7879
Hill End,NSW,2850,186,-33.0276,149.4264
Wilby,VIC,3728,186,-36.1558,146.0306
Haden,QLD,4353,186,-27.2226,151.8843
Mount Tyson,QLD,4356,186,-27.5748,151.5701
Towers Hill,QLD,4820,186,-20.089,146.2568
Kwinana Beach,WA,6167,186,-32.2379,115.7798
Karoola,TAS,7267,186,-41.2509,147.1498
Mallanganee,NSW,2469,185,-28.9057,152.7202
Yelta,VIC,3505,185,-34.1323,142.0134
