locality,state,postcode,count,latitude,longitude
Cranbourne,VIC,3977,11139,-38.1032,145.2763
Alexandria,NSW,2015,11101,-33.9059,151.1959
Guildford,NSW,2161,11049,-33.8545,150.9893
Greenacre,NSW,2190,10991,-33.9039,151.0571
Mandurah,WA,6210,10970,-32.5273,115.7295
Quakers Hill,NSW,2763,10905,-33.7271,150.8919
Russell Island,QLD,4184,10879,-27.6725,153.3823
Officer,VIC,3809,10851,-38.0636,145.4121
Langwarrin,VIC,3910,10844,-38.1528,145.1955
Como,WA,6152,10820,-31.9986,115.8637
Redbank Plains,QLD,4301,10799,-27.6508,152.8552
South Morang,VIC,3752,10776,-37.6367,145.0854
Mount Martha,VIC,3934,10773,-38.2669,145.0261
Kallangur,QLD,4503,10768,-27.2454,152.9927
Mooroolbark,VIC,3138,10766,-37.7803,145.3217
Kellyville,NSW,2155,10762,-33.7113,150.9576
Greensborough,VIC,3088,10759,-37.7009,145.1064
Port Lincoln,SA,5606,10739,-34.7272,135.8563
Capalaba,QLD,4157,10728,-27.5344,153.1993
Moonee Ponds,VIC,3039,10698,-37.7655,144.9208
Ellenbrook,WA,6069,10687,-31.7699,115.9773
Nerang,QLD,4211,10663,-27.9969,153.3286
Mickleham,VIC,3064,10604,-37.5439,144.8993
Cabramatta,NSW,2166,10562,-33.8952,150.9352
Hope Island,QLD,4212,10557,-27.8694,153.3609
Rockdale,NSW,2216,10556,-33.9535,151.1388
Gosnells,WA,6110,10548,-32.0788,115.9927
Bondi Beach,NSW,2026,10489,-33.8894,151.2724
Caringbah,NSW,2229,10473,-34.0387,151.1238
Murray Bridge,SA,5253,10456,-35.131,139.2717
Hawthorn East,VIC,3123,10429,-37.8296,145.0503
Chermside,QLD,4032,10429,-27.386,153.0312
Highton,VIC,3216,10426,-38.1738,144.3128
Caulfield North,VIC,3161,10368,-37.8717,145.0238
Brunswick East,VIC,3057,10350,-37.7708,144.9757
Pascoe Vale,VIC,3044,10334,-37.7245,144.9375
North Lakes,QLD,4509,10294,-27.2229,153.0133
Leichhardt,NSW,2040,10257,-33.8834,151.1546
Lilydale,VIC,3140,10246,-37.7579,145.3543
Narre Warren South,VIC,3805,10231,-38.0575,145.302
Nundah,QLD,4012,10218,-27.4023,153.0617
Westmead,NSW,2145,10217,-33.8094,150.9866
Zetland,NSW,2017,10212,-33.9069,151.2088
Sale,VIC,3850,10205,-38.1025,147.0745
Eastwood,NSW,2122,10203,-33.7886,151.0842
Bayswater,WA,6053,10164,-31.9176,115.9155
Brunswick West,VIC,3055,10152,-37.7627,144.943
Wantirna South,VIC,3152,10149,-37.8729,145.234
New Farm,QLD,4005,10106,-27.4667,153.045
Mernda,VIC,3754,10079,-37.5991,145.0844
Lalor,VIC,3075,10062,-37.6673,145.0142
Greenvale,VIC,3059,10033,-37.6352,144.89
Hampton Park,VIC,3976,10009,-38.036,145.2659
Fairfield,NSW,2165,9986,-33.8709,150.9518
Umina Beach,NSW,2257,9974,-33.5182,151.3141
Fitzroy,VIC,3065,9944,-37.8011,144.9793
Thornlie,WA,6108,9934,-32.0607,115.9547
Coomera,QLD,4209,9849,-27.8483,153.3374
Helensvale,QLD,4212,9839,-27.9038,153.3346
Emerald,QLD,4720,9836,-23.5297,148.1598
Forest Lake,QLD,4078,9807,-27.6204,152.964
Toorak,VIC,3142,9776,-37.8421,145.0144
Maryborough,QLD,4650,9756,-25.5294,152.6966
Dandenong North,VIC,3175,9717,-37.9566,145.2111
Cranbourne East,VIC,3977,9714,-38.113,145.3038
Kirwan,QLD,4817,9710,-19.3022,146.729
Bentleigh,VIC,3204,9706,-37.9226,145.0386
Deception Bay,QLD,4508,9693,-27.1912,153.0232
Mulgrave,VIC,3170,9667,-37.9276,145.1767
Echuca,VIC,3564,9628,-36.1376,144.7462
Horsham,VIC,3400,9604,-36.7156,142.1974
Morwell,VIC,3840,9596,-38.2306,146.414
Haymarket,NSW,2000,9539,-33.8794,151.2047
Wheelers Hill,VIC,3150,9538,-37.9093,145.1834
Endeavour Hills,VIC,3802,9536,-37.9767,145.2607
Mitcham,VIC,3132,9518,-37.8183,145.1978
St Marys,NSW,2760,9515,-33.7692,150.7761
Varsity Lakes,QLD,4227,9512,-28.0863,153.4113
Narangba,QLD,4504,9478,-27.186,152.946
Glebe,NSW,2037,9455,-33.879,151.1877
Kangaroo Point,QLD,4169,9453,-27.4755,153.0371
West Perth,WA,6005,9449,-31.9464,115.8452
Toowong,QLD,4066,9440,-27.4834,152.9889
Punchbowl,NSW,2196,9423,-33.9284,151.0529
Altona Meadows,VIC,3028,9416,-37.8766,144.778
Noosaville,QLD,4566,9410,-26.4043,153.0585
Balwyn North,VIC,3104,9397,-37.7931,145.084
Glenmore Park,NSW,2745,9373,-33.7918,150.678
Bayswater,VIC,3153,9360,-37.8459,145.2648
Ballina,NSW,2478,9359,-28.8599,153.5607
Devonport,TAS,7310,9354,-41.178,146.347
Wynnum,QLD,4178,9325,-27.4419,153.1688
Caroline Springs,VIC,3023,9309,-37.7339,144.7378
Kensington,VIC,3031,9286,-37.7938,144.926
Rosebery,NSW,2018,9268,-33.9161,151.2052
Dulwich Hill,NSW,2203,9263,-33.9036,151.1396
Subiaco,WA,6008,9250,-31.9478,115.8246
Ultimo,NSW,2007,9212,-33.8805,151.1976
Bexley,NSW,2207,9200,-33.9535,151.1225
Granville,NSW,2142,9150,-33.8337,151.008
Armstrong Creek,VIC,3217,9115,-38.2351,144.3605
Fremantle,WA,6160,9100,-32.0536,115.7551
Neutral Bay,NSW,2089,9081,-33.8339,151.2189
Burpengary,QLD,4505,9073,-27.1582,152.963
Sunshine West,VIC,3020,9065,-37.7949,144.8088
Greystanes,NSW,2145,9059,-33.8238,150.9463
Collingwood,VIC,3066,9059,-37.8023,144.9872
Drouin,VIC,3818,9041,-38.1309,145.8525
Eltham,VIC,3095,9014,-37.7134,145.1546
Potts Point,NSW,2011,8986,-33.8718,151.2239
Woolloongabba,QLD,4102,8985,-27.4934,153.0376
Cessnock,NSW,2325,8979,-32.8321,151.3499
Mooloolaba,QLD,4557,8975,-26.6819,153.1149
Eagleby,QLD,4207,8972,-27.7013,153.2143
Ascot Vale,VIC,3032,8962,-37.7771,144.9161
Williamstown,VIC,3016,8959,-37.8602,144.8924
Indooroopilly,QLD,4068,8956,-27.5015,152.9741
Burwood,VIC,3125,8951,-37.851,145.1142
Fraser Rise,VIC,3336,8951,-37.7055,144.7167
Belmont,VIC,3216,8938,-38.1786,144.3385
Paddington,NSW,2021,8932,-33.884,151.2283
Mentone,VIC,3194,8929,-37.9812,145.0677
Coolangatta,QLD,4225,8922,-28.1687,153.5351
Banora Point,NSW,2486,8876,-28.2194,153.5366
Ivanhoe,VIC,3079,8831,-37.7649,145.0431
Yarraville,VIC,3013,8806,-37.8168,144.8838
Drummoyne,NSW,2047,8769,-33.8514,151.1539
Frankston South,VIC,3199,8740,-38.1712,145.1277
Cowes,VIC,3922,8715,-38.4566,145.231
Rivervale,WA,6103,8681,-31.9591,115.9132
Lakemba,NSW,2195,8660,-33.9193,151.0757
Coolum Beach,QLD,4573,8659,-26.5311,153.0841
Cranbourne North,VIC,3977,8656,-38.0777,145.2997
Cranbourne West,VIC,3977,8643,-38.1016,145.2516
St Ives,NSW,2075,8625,-33.7277,151.1667
Wentworth Point,NSW,2127,8623,-33.8273,151.0766
St Kilda East,VIC,3183,8620,-37.8652,145.0021
East Melbourne,VIC,3002,8591,-37.8132,144.9838
Blackburn,VIC,3130,8580,-37.8205,145.1509
Yagoona,NSW,2199,8566,-33.9054,151.0211
Bowen,QLD,4805,8549,-20.0159,148.2298
Lavington,NSW,2641,8543,-36.0423,146.9397
Ingleburn,NSW,2565,8539,-34.003,150.8673
Byford,WA,6122,8539,-32.2214,115.9949
Brighton East,VIC,3187,8530,-37.9159,145.0168
Victoria Point,QLD,4165,8512,-27.5877,153.2926
Lane Cove,NSW,2066,8505,-33.8162,151.1643
Mount Eliza,VIC,3930,8502,-38.1907,145.0929
Kingsford,NSW,2032,8479,-33.9244,151.2293
Redland Bay,QLD,4165,8462,-27.6276,153.3002
Thornlands,QLD,4164,8443,-27.563,153.2651
Gladesville,NSW,2111,8434,-33.8291,151.1268
Clayton South,VIC,3169,8395,-37.9378,145.126
Fitzroy North,VIC,3068,8346,-37.7838,144.9835
Wallan,VIC,3756,8340,-37.4121,144.9817
Tweed Heads,NSW,2485,8330,-28.1762,153.5387
Revesby,NSW,2212,8323,-33.9484,151.0147
St Leonards,NSW,2065,8321,-33.8235,151.1959
Cremorne,NSW,2090,8321,-33.8287,151.226
Armadale,WA,6112,8313,-32.1498,116.007
Sutherland,NSW,2232,8306,-34.0309,151.0602
Darwin City,NT,0800,8296,-12.4608,130.8414
Mermaid Beach,QLD,4218,8288,-28.0478,153.4363
Mount Druitt,NSW,2770,8254,-33.767,150.8182
Botany,NSW,2019,8240,-33.948,151.202
Willetton,WA,6155,8237,-32.0518,115.8882
Wahroonga,NSW,2076,8230,-33.7189,151.1151
Yokine,WA,6060,8221,-31.9004,115.8511
Halls Head,WA,6210,8215,-32.5433,115.6958
Earlwood,NSW,2206,8214,-33.9245,151.126
Spring Hill,QLD,4000,8209,-27.4618,153.0248
Redcliffe,QLD,4020,8204,-27.2279,153.1098
Bondi,NSW,2026,8177,-33.8933,151.2642
Wentworthville,NSW,2145,8162,-33.8088,150.9711
Charlestown,NSW,2290,8140,-32.9658,151.6939
Corio,VIC,3214,8132,-38.0713,144.3594
Deer Park,VIC,3023,8124,-37.7673,144.7666
Clyde,VIC,3978,8123,-38.1282,145.3456
Altona North,VIC,3025,8122,-37.8345,144.8505
Park Ridge,QLD,4125,8105,-27.7063,153.0723
Nambour,QLD,4560,8085,-26.6245,152.9556
Oran Park,NSW,2570,8082,-34.0055,150.7399
Abbotsford,VIC,3067,8079,-37.8066,145.0022
Altona,VIC,3018,8069,-37.865,144.8189
Maribyrnong,VIC,3032,8061,-37.776,144.8892
Geelong,VIC,3220,8061,-38.1492,144.3613
Calamvale,QLD,4116,8053,-27.6231,153.0477
Engadine,NSW,2233,8032,-34.0596,151.0127
Prospect,SA,5082,8030,-34.8831,138.5925
Urangan,QLD,4655,8000,-25.2962,152.8947
Roxburgh Park,VIC,3064,7978,-37.6249,144.9255
Carindale,QLD,4152,7977,-27.511,153.1116
Annerley,QLD,4103,7966,-27.5121,153.0323
Keilor East,VIC,3033,7960,-37.7416,144.8659
Terrigal,NSW,2260,7958,-33.4431,151.4324
Warwick,QLD,4370,7954,-28.2175,152.0285
Highett,VIC,3190,7950,-37.9503,145.041
Toongabbie,NSW,2146,7938,-33.7895,150.9489
Muswellbrook,NSW,2333,7923,-32.2726,150.8944
Victoria Park,WA,6100,7913,-31.9762,115.8933
Ashmore,QLD,4214,7896,-27.988,153.379
Lane Cove North,NSW,2066,7879,-33.8072,151.1663
Templestowe,VIC,3106,7869,-37.7601,145.146
Morningside,QLD,4170,7856,-27.4672,153.0737
Sunnybank Hills,QLD,4109,7855,-27.5954,153.0523
Wagga Wagga,NSW,2650,7851,-35.1112,147.3635
Schofields,NSW,2762,7847,-33.7035,150.8796
Grovedale,VIC,3216,7836,-38.2032,144.3326
Kensington,NSW,2033,7831,-33.9096,151.2226
Burleigh Waters,QLD,4220,7817,-28.087,153.4313
Mount Lawley,WA,6050,7808,-31.9316,115.8751
Rhodes,NSW,2138,7803,-33.8287,151.0861
Wembley,WA,6014,7797,-31.934,115.8138
Dalby,QLD,4405,7789,-27.1835,151.2636
North Kellyville,NSW,2155,7784,-33.686,150.95
Hampton,VIC,3188,7745,-37.9378,145.0092
Camperdown,NSW,2050,7726,-33.8877,151.1777
Balwyn,VIC,3103,7721,-37.8096,145.0828
Balcatta,WA,6021,7711,-31.8755,115.8233
Homebush,NSW,2140,7703,-33.8643,151.0822
Rouse Hill,NSW,2155,7700,-33.6838,150.9171
Austral,NSW,2179,7686,-33.9308,150.8098
North Parramatta,NSW,2151,7681,-33.8015,151.009
